Название	x	y	h
P143 	67583,286	57584,28	144,1
P144 	67964,053	57366,569	143,8
P145 	67582,987	57593,622	143,2
P146 	67837,089	57398,305	143,0
P147 	67476,788	57747,318	143,5
P148 	67770,636	57535,57	141,3
P149 	67336,287	57807,157	143,8
P15 	68207,606	57166,124	143,9
P150 	67326,441	57808,195	144,4
P151 	67920,7	57490,998	140,5
P152 	67659,55	57664,28	141,9
P153 	67619,919	57647,066	143,0
P154 	67659,837	57688,201	144,2
P155 	67649,689	57694,069	142,9
P156 	67395,407	57905,418	144,6
P157 	67326,226	57820,407	144,2
P158 	67280,227	57752,784	142,6
P159 	67276,26	57768,416	139,0
P16 	68204,616	57187,347	142,4
P160 	67387,884	57876,009	144,2
P161 	67401,618	57900,737	144,6
P162 	67028,456	57978,189	139,0
P163 	67038,171	58024,326	139,3
P164 	67195,97	58005,222	143,7
P165 	67012,206	57971,891	144,3
P166 	67038,353	58047,334	144,4
P167 	67086,692	58144,009	144,4
P168 	67053,467	58162,348	144,6
P169 	67040,891	58129,362	143,9
P17 	68314,762	57226,961	142,6
P170 	67014,255	58031,501	139,6
P171 	67003,555	57986,825	139,2
P172 	67020,999	58051,551	143,7
P173 	66857,54	58045,017	139,2
P174 	66881,111	58122,749	143,6
P175 	66727,394	58051,978	138,9
P176 	66736,447	58099,782	139,7
P177 	66749,52	58199,151	144,4
P178 	66744,767	58201,361	144,9
P179 	66728,138	58114,841	143,9
P18 	68325,348	57221,351	144,3
P180 	66735,039	58121,665	143,9
P181 	66713,524	58043,199	143,6
P182 	66725,734	58125,184	143,6
P183 	66714,721	58103,964	139,1
P184 	66707,903	58099,254	138,9
P185 	66630,278	58181,325	143,8
P186 	67020,423	58150,493	148,4
P187 	66494,164	58184,8	143,3
P188 	66483,761	58177,91	144,1
P189 	66490,268	58256,385	143,3
P19 	68329,688	57212,575	143,3
P190 	66760,747	58209,448	148,2
P191 	66748,59	58214,066	144,8
P192 	66481,552	58244,16	148,1
P193 	66717,592	58223,111	148,5
P194 	66475,975	58093,358	143,6
P195 	66412,439	58065,85	143,8
P196 	66383,823	58142,366	144,1
P197 	66472,545	58193,281	143,3
P198 	66039,219	57986,018	143,8
P199 	66470,146	58257,319	143,3
P2 	68111,555	57076,83	139,0
P20 	68365,819	57155,2	143,3
P200 	66079,112	57917,8	142,9
P201 	66353,909	58217,259	143,7
P202 	66081,679	57933,91	139,2
P203 	66338,67	58128,687	143,7
P204 	66262,614	58134,631	143,4
P205 	66187,538	58143,205	143,4
P206 	66394,331	58153,009	143,6
P207 	66205,921	58071,28	143,3
P208 	66186,968	58058,292	143,3
P209 	66368,025	58225,055	143,6
P21 	68129,985	57141,732	139,1
P210 	65711,015	57841,568	143,1
P211 	66148,545	58126,382	143,3
P212 	66367,197	58243,577	147,4
P213 	66112,57	58072,165	143,3
P214 	65740,988	57768,081	143,7
P215 	66062,464	58004,018	143,5
P216 	65747,644	57782,741	139,2
P217 	66333,679	58227,475	148,3
P218 	66028,026	58073,462	143,6
P219 	65886,595	57976,181	142,9
P22 	68303,128	57066,797	143,4
P220 	65702,075	57852,484	141,8
P221 	65814,092	57897,752	142,2
P222 	66151,393	58144,785	148,0
P223 	65765,766	57957,653	142,1
P224 	65676,734	57919,296	142,3
P225 	65669,026	57914,658	143,6
P226 	65457,528	57701,196	144,1
P227 	65446,653	57701,747	143,3
P228 	65651,63	57905,42	142,9
P229 	65690,959	57835,131	142,9
P23 	68072,005	57226,828	139,1
P230 	65403,648	57795,478	143,6
P231 	65372,187	57728,217	143,4
P232 	65560,234	57815,233	143,1
P233 	65350,04	57648,627	143,6
P234 	65340,32	57638,293	143,8
P235 	65421,342	57803,566	143,5
P236 	65691,86	57943,939	148,0
P237 	65305,272	57752,42	143,0
P238 	65462,557	57716,141	143,1
P239 	65294,693	57746,829	143,0
P24 	68162,117	57183,477	139,6
P240 	65592,137	57897,892	148,1
P241 	65268,634	57658,918	142,6
P242 	65349,519	57585,045	142,4
P243 	65363,288	57575,673	144,7
P244 	65368,252	57565,715	144,8
P245 	65174,253	57692,316	142,8
P246 	65405,991	57814,449	148,2
P247 	65372,934	57612,95	139,9
P248 	65054,595	57639,028	143,1
P249 	65257,249	57526,956	142,5
P25 	68281,902	56914,683	143,8
P250 	65252,336	57508,61	146,7
P251 	65077,715	57432,677	147,7
P252 	64983,496	57504,11	147,9
P253 	64984,12	57447,215	143,6
P254 	64898,949	57563,012	149,0
P255 	64913,239	57537,43	143,4
P256 	64983,971	57336,211	144,2
P257 	65167,294	57662,446	142,8
P258 	64913,7	57394,29	143,9
P259 	64958,196	57254,673	143,3
P26 	68270,658	56881,173	144,0
P260 	65236,936	57511,253	142,5
P261 	64871,416	57278,358	144,0
P262 	64875,778	57265,899	147,9
P263 	65077,988	57546,418	143,1
P264 	65139,218	57310,485	141,3
P265 	65048,076	57431,937	143,2
P266 	64919,719	57264,587	143,8
P267 	65097,815	57373,239	141,0
P268 	65068,723	57402,157	143,6
P269 	64936,277	57252,638	147,8
P27 	68230,608	57160,974	143,2
P270 	65194,208	57325,084	141,0
P271 	65257,201	57274,055	140,7
P272 	65046,224	57222,135	148,1
P273 	64949,92	57594,035	143,8
P274 	65048,304	57229,952	143,1
P275 	65204,086	57224,293	141,1
P276 	65113,442	57194,611	141,8
P277 	65062,146	57186,056	142,2
P278 	64970,517	57497,95	143,5
P279 	64937,301	57249,018	147,8
P28 	68190,761	57129,628	139,3
P280 	64924,983	57242,383	145,0
P281 	64905,26	57065,638	147,9
P282 	64899,225	57074,845	144,7
P283 	64848,537	57267,261	148,8
P284 	64866,869	57256,29	145,2
P285 	64893,502	57055,738	143,9
P286 	64837,365	57086,514	144,6
P287 	64816,85	57081,245	148,7
P288 	64833,569	57051,386	143,9
P289 	64887,39	56849,119	147,9
P29 	68180,84	56769,195	143,5
P290 	64832,498	56981,725	143,9
P291 	64877,243	56861,094	143,9
P292 	64882,2	56974,642	143,9
P293 	64825,738	56865,983	143,7
P294 	64856,838	56947,001	144,1
P295 	64802,837	56860,868	149,0
P296 	64823,591	56846,621	143,7
P297 	64889,94	56577,431	144,3
P298 	64787,122	57839,476	143,4
P299 	64921,781	57058,869	143,4
P3 	68032,042	57455,218	141,9
P30 	68140,428	57103,92	139,3
P300 	65021,578	56587,835	146,5
P301 	64844,023	56726,921	143,6
P302 	65066,502	56585,089	142,5
P303 	64869,859	56633,93	142,8
P304 	65023,439	56996,104	143,5
P305 	65213,927	56512,479	142,8
P306 	64804,763	56621,713	142,9
P307 	65033,405	57075,108	143,3
P308 	65343,825	56456,687	141,9
P309 	64787,127	56618,958	147,9
P31 	68129,126	57000,093	139,1
P310 	65042,572	57075,096	142,5
P311 	65368,347	56594,513	141,3
P312 	65175,84	57116,259	141,4
P313 	64788,087	56551,02	148,1
P314 	65301,887	56730,991	141,3
P315 	65326,181	57139,761	140,5
P316 	64808,768	56523,193	148,1
P317 	65209,405	56681,509	141,9
P318 	64823,211	56541,446	142,9
P319 	65455,879	57127,304	140,0
P32 	68168,248	56985,551	139,3
P320 	65114,124	56649,171	142,2
P321 	65063,787	56600,69	142,2
P322 	64900,836	56599,361	143,2
P323 	65435,752	56965,971	140,4
P324 	64969,396	56706,713	142,6
P325 	65359,673	56878,039	140,9
P326 	64975,082	56814,903	142,9
P327 	65287,572	56896,586	141,2
P328 	65223,731	56904,472	141,6
P329 	65017,465	56873,118	143,1
P33 	68174,468	56958,365	143,9
P330 	65127,26	56903,39	142,2
P331 	65035,317	56858,548	142,5
P332 	65091,776	56983,571	142,8
P333 	65077,516	56801,415	142,0
P334 	65069,958	56996,459	143,0
P335 	65028,71	56959,212	143,3
P336 	65019,809	56957,446	143,3
P337 	64914,046	56946,674	144,1
P338 	64911,321	56886,675	143,4
